"protein","RNA","corr.coef","conf.level","conf.low","conf.high","statistic","p.value","method","n.obs","factor","fact_lvl"
"CD48","CD48 RNA (ENSG00000117091_CD48)",0.613175691258289,0.95,0.604979656908815,0.621241802183646,889684439815.527,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD62L","CD62L RNA (ENSG00000188404_SELL)",0.55865341342018,0.95,0.549624681118936,0.567551656639919,1015084062123.79,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD71","CD71 RNA (ENSG00000072274_TFRC)",0.529090853655632,0.95,0.519643734585296,0.538408612522566,1083077072979.77,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD36","CD36 RNA (ENSG00000135218_CD36)",0.571235063253523,0.95,0.562391452954013,0.579948002701663,986146640583.904,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD32","CD32 RNA (ENSG00000143226_FCGR2A)",0.53484846846097,0.95,0.525481010758551,0.544086270590599,1069834729654.91,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD9","CD9 RNA (ENSG00000010278_CD9)",0.346278839904379,0.95,0.334759803739475,0.357694399567777,1503539283782.65,"< 0.001","Spearman correlation",23986,"donor","32606"
"FceRIa","FceRIa RNA (ENSG00000179639_FCER1A)",0.439054456237148,0.95,0.42847619738569,0.449512375114729,1290158117242.07,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD41","CD41 RNA (ENSG00000005961_ITGA2B)",0.412301748037649,0.95,0.401428834674281,0.423058465987756,1351688552817.44,"< 0.001","Spearman correlation",23986,"donor","32606"
"HLA-A-B-C","HLA-A-B-C RNA (ENSG00000206503_HLA-A)",0.417729637104304,0.95,0.406914973455745,0.428427214572705,1339204568914.37,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD38","CD38 RNA (ENSG00000004468_CD38)",0.387163158196281,0.95,0.376030639079494,0.398183924910991,1409506564031.68,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD52","CD52 RNA (ENSG00000169442_CD52)",0.254804516702681,0.95,0.242580463966127,0.266947671478162,1713927514708.3,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD82","CD82 RNA (ENSG00000085117_CD82)",0.340564746325445,0.95,0.328995207298984,0.352032062598123,1516681529577.29,"< 0.001","Spearman correlation",23986,"donor","32606"
"HLA-DR","HLA-DR RNA (ENSG00000204287_HLA-DRA)",0.313393694993385,0.95,0.301595803259715,0.325095629080002,1579174141952.65,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD13","CD13 RNA (ENSG00000166825_ANPEP)",0.39467823729165,0.95,0.383621573783476,0.40562176648349,1392222104952.88,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD44","CD44 RNA (ENSG00000026508_CD44)",0.293731431311121,0.95,0.281780438144257,0.305591296827927,1624396765387.47,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD11a","CD11a RNA (ENSG00000005844_ITGAL)",0.246648112342115,0.95,0.234371900133454,0.258845673699839,1732687002880.19,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD31","CD31 RNA (ENSG00000261371_PECAM1)",0.246182081676834,0.95,0.233902942104685,0.258382699810572,1733758859591.38,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD123","CD123 RNA (ENSG00000185291_IL3RA)",0.211374806006667,0.95,0.198893167168631,0.223787882591726,1813814561511.59,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD63","CD63 RNA (ENSG00000135404_CD63)",0.162058687044284,0.95,0.149344624268087,0.174719170734981,1927240172781.07,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD33","CD33 RNA (ENSG00000105383_CD33)",0.208230913746134,0.95,0.195732552491656,0.220661639257483,1821045420486.69,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD45","CD45 RNA (ENSG00000081237_PTPRC)",0.222776513680775,0.95,0.210357699395501,0.23512344177938,1787590971949.76,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD81","CD81 RNA (ENSG00000110651_CD81)",0.153320486692049,0.95,0.140571895432804,0.166018244410647,1947337774482.12,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD162","CD162 RNA (ENSG00000110876_SELPLG)",0.168589907070982,0.95,0.155902959427771,0.181221239902641,1912218560386.38,"< 0.001","Spearman correlation",23986,"donor","32606"
"KLRG1","KLRG1 RNA (ENSG00000139187_KLRG1)",0.0732626270486284,0.95,0.0602907704790831,0.0862097421796398,2131468477749.91,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD112","CD112 RNA (ENSG00000130202_NECTIN2)",0.161426817458377,0.95,0.148710190743358,0.174090062792388,1928693454092.17,"< 0.001","Spearman correlation",23986,"donor","32606"
"integrinB7","integrinB7 RNA (ENSG00000139626_ITGB7)",0.16035836285507,0.95,0.147637424485685,0.173026254448615,1931150867997.48,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD18","CD18 RNA (ENSG00000160255_ITGB2)",0.123132698889637,0.95,0.110280218288519,0.135944005890566,2016768791285.65,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD49b","CD49b RNA (ENSG00000164171_ITGA2)",0.159234074068348,0.95,0.146508631048441,0.171906822805598,1933736698869.02,"< 0.001","Spearman correlation",23986,"donor","32606"
